model,activation,optimizer,seq_len,grad_clipping,accuracy,f1,epoch_time_sec
rnn,relu,adam,25,False,0.5922,0.5757,2.5685
rnn,relu,adam,25,True,0.6264,0.6264,2.6389
rnn,relu,adam,50,False,0.534,0.5314,2.3122
rnn,relu,adam,50,True,0.603,0.5911,2.5885
rnn,relu,adam,100,False,0.5342,0.532,2.4053
rnn,relu,adam,100,True,0.542,0.5327,2.6631
rnn,relu,sgd,25,False,0.5055,0.4637,2.0571
rnn,relu,sgd,25,True,0.5044,0.5039,2.4066
rnn,relu,sgd,50,False,0.5015,0.4943,2.057
rnn,relu,sgd,50,True,0.5004,0.4035,2.3311
rnn,relu,sgd,100,False,0.4979,0.4076,2.1987
rnn,relu,sgd,100,True,0.5139,0.4988,2.5772
rnn,relu,rmsprop,25,False,0.499,0.3329,2.2954
rnn,relu,rmsprop,25,True,0.499,0.3329,2.5664
rnn,relu,rmsprop,50,False,0.5013,0.3346,2.3076
rnn,relu,rmsprop,50,True,0.501,0.3338,2.552
rnn,relu,rmsprop,100,False,0.501,0.3338,2.4182
rnn,relu,rmsprop,100,True,0.499,0.3329,2.6491
rnn,tanh,adam,25,False,0.6122,0.6067,2.3203
rnn,tanh,adam,25,True,0.612,0.6081,2.6091
rnn,tanh,adam,50,False,0.6016,0.5969,2.2746
rnn,tanh,adam,50,True,0.5307,0.5297,2.646
rnn,tanh,adam,100,False,0.6113,0.5971,2.3999
rnn,tanh,adam,100,True,0.5076,0.4701,2.6514
rnn,tanh,sgd,25,False,0.5212,0.5208,2.059
rnn,tanh,sgd,25,True,0.5069,0.4801,2.3048
rnn,tanh,sgd,50,False,0.5078,0.4991,2.0551
rnn,tanh,sgd,50,True,0.5061,0.4872,2.3112
rnn,tanh,sgd,100,False,0.5161,0.5123,2.1784
rnn,tanh,sgd,100,True,0.5146,0.5115,2.4524
rnn,tanh,rmsprop,25,False,0.4942,0.4802,2.2623
rnn,tanh,rmsprop,25,True,0.5001,0.4588,2.554
rnn,tanh,rmsprop,50,False,0.5044,0.5044,2.2754
rnn,tanh,rmsprop,50,True,0.5012,0.3348,2.5389
rnn,tanh,rmsprop,100,False,0.4986,0.3362,2.3664
rnn,tanh,rmsprop,100,True,0.4993,0.335,2.7022
rnn,sigmoid,adam,25,False,0.5211,0.5086,2.3697
rnn,sigmoid,adam,25,True,0.6318,0.6269,2.6355
rnn,sigmoid,adam,50,False,0.5748,0.567,2.348
rnn,sigmoid,adam,50,True,0.605,0.6038,2.6428
rnn,sigmoid,adam,100,False,0.5386,0.5018,2.4087
rnn,sigmoid,adam,100,True,0.5931,0.5718,2.6965
rnn,sigmoid,sgd,25,False,0.497,0.4212,2.0466
rnn,sigmoid,sgd,25,True,0.499,0.3329,2.3063
rnn,sigmoid,sgd,50,False,0.501,0.3338,2.0868
rnn,sigmoid,sgd,50,True,0.501,0.3338,2.3322
rnn,sigmoid,sgd,100,False,0.501,0.3338,2.1702
rnn,sigmoid,sgd,100,True,0.5016,0.5006,2.4452
rnn,sigmoid,rmsprop,25,False,0.5012,0.3348,2.2921
rnn,sigmoid,rmsprop,25,True,0.501,0.3338,2.5525
rnn,sigmoid,rmsprop,50,False,0.499,0.333,2.291
rnn,sigmoid,rmsprop,50,True,0.499,0.3329,2.5613
rnn,sigmoid,rmsprop,100,False,0.501,0.3338,2.4105
rnn,sigmoid,rmsprop,100,True,0.4979,0.3908,2.643
lstm,relu,adam,25,False,0.718,0.7178,2.6642
lstm,relu,adam,25,True,0.7156,0.715,3.0554
lstm,relu,adam,50,False,0.7559,0.754,2.6046
lstm,relu,adam,50,True,0.7496,0.7494,2.8774
lstm,relu,adam,100,False,0.7531,0.745,2.7299
lstm,relu,adam,100,True,0.7634,0.7591,3.1237
lstm,relu,sgd,25,False,0.501,0.4775,2.388
lstm,relu,sgd,25,True,0.5166,0.5141,2.6735
lstm,relu,sgd,50,False,0.5017,0.4976,2.3947
lstm,relu,sgd,50,True,0.5059,0.4271,2.6493
lstm,relu,sgd,100,False,0.5021,0.404,2.5056
lstm,relu,sgd,100,True,0.5076,0.4973,2.7817
lstm,relu,rmsprop,25,False,0.6543,0.6516,2.678
lstm,relu,rmsprop,25,True,0.501,0.3338,2.895
lstm,relu,rmsprop,50,False,0.4991,0.3397,2.5948
lstm,relu,rmsprop,50,True,0.501,0.3338,2.8676
lstm,relu,rmsprop,100,False,0.499,0.3329,2.7246
lstm,relu,rmsprop,100,True,0.501,0.3338,3.0353
lstm,tanh,adam,25,False,0.7131,0.7131,2.6621
lstm,tanh,adam,25,True,0.7157,0.7142,2.9472
lstm,tanh,adam,50,False,0.7331,0.7308,2.6273
lstm,tanh,adam,50,True,0.7498,0.7467,2.9847
lstm,tanh,adam,100,False,0.7902,0.7895,2.7303
lstm,tanh,adam,100,True,0.748,0.7439,3.0242
lstm,tanh,sgd,25,False,0.5088,0.4699,2.4008
lstm,tanh,sgd,25,True,0.5028,0.4382,2.6746
lstm,tanh,sgd,50,False,0.5084,0.5057,2.4168
lstm,tanh,sgd,50,True,0.5058,0.4472,2.667
lstm,tanh,sgd,100,False,0.5078,0.5037,2.5203
lstm,tanh,sgd,100,True,0.4965,0.3806,2.7853
lstm,tanh,rmsprop,25,False,0.5015,0.3382,2.6383
lstm,tanh,rmsprop,25,True,0.4996,0.335,2.9247
lstm,tanh,rmsprop,50,False,0.5175,0.4072,2.5978
lstm,tanh,rmsprop,50,True,0.4998,0.3448,2.867
lstm,tanh,rmsprop,100,False,0.501,0.3338,2.7352
lstm,tanh,rmsprop,100,True,0.678,0.6536,2.9723
lstm,sigmoid,adam,25,False,0.7179,0.7173,2.7064
lstm,sigmoid,adam,25,True,0.7095,0.7088,3.0047
lstm,sigmoid,adam,50,False,0.7044,0.7037,2.7043
lstm,sigmoid,adam,50,True,0.7536,0.7514,2.9254
lstm,sigmoid,adam,100,False,0.7797,0.7779,2.8453
lstm,sigmoid,adam,100,True,0.7616,0.7563,3.0328
lstm,sigmoid,sgd,25,False,0.499,0.3329,2.4342
lstm,sigmoid,sgd,25,True,0.501,0.3338,2.68
lstm,sigmoid,sgd,50,False,0.499,0.3329,2.4134
lstm,sigmoid,sgd,50,True,0.501,0.3338,2.7359
lstm,sigmoid,sgd,100,False,0.499,0.3329,2.6094
lstm,sigmoid,sgd,100,True,0.501,0.3338,2.8704
lstm,sigmoid,rmsprop,25,False,0.7042,0.6998,2.6838
lstm,sigmoid,rmsprop,25,True,0.6216,0.6127,2.9276
lstm,sigmoid,rmsprop,50,False,0.7422,0.7372,2.691
lstm,sigmoid,rmsprop,50,True,0.7336,0.7336,2.8646
lstm,sigmoid,rmsprop,100,False,0.7413,0.7286,2.7127
lstm,sigmoid,rmsprop,100,True,0.6679,0.6379,2.9701
bilstm,relu,adam,25,False,0.7249,0.7248,3.4893
bilstm,relu,adam,25,True,0.7233,0.723,3.6696
bilstm,relu,adam,50,False,0.764,0.7625,3.4419
bilstm,relu,adam,50,True,0.753,0.7488,3.6704
bilstm,relu,adam,100,False,0.8038,0.8036,3.4892
bilstm,relu,adam,100,True,0.8031,0.8015,3.8317
bilstm,relu,sgd,25,False,0.5174,0.5062,3.0076
bilstm,relu,sgd,25,True,0.497,0.4765,3.3187
bilstm,relu,sgd,50,False,0.499,0.4462,3.0818
bilstm,relu,sgd,50,True,0.5161,0.4913,3.3259
bilstm,relu,sgd,100,False,0.5106,0.5103,3.295
bilstm,relu,sgd,100,True,0.5021,0.4959,3.442
